id_acteur,nom,prenom,parti,debut,nom_parti
PA794658,Fait,Philippe,PO833003,2024-12-04,Ensemble ! (majorité présidentielle)
PA794658,Fait,Philippe,PO852528,2025-12-03,Horizons
PA794658,Fait,Philippe,PO806430,2022-12-02,Ensemble
PA718860,Taurine,Bénédicte,PO744856,2017-12-01,La France Insoumise
PA718860,Taurine,Bénédicte,PO744856,2022-12-02,La France Insoumise
PA719496,Cabaré,Pierre,PO744854,2017-12-01,En marche !
PA719496,Cabaré,Pierre,PO761294,2018-12-01,La République en Marche
PA606545,Roumégas,Jean-Louis,PO852530,2024-12-04,Les Écologistes - EELV
PA606545,Roumégas,Jean-Louis,PO684936,2012-12-01,Europe Écologie Les Verts
PA606545,Roumégas,Jean-Louis,PO852530,2025-12-03,Les Écologistes - EELV
PA841919,Diop,Dieynaba,PO684932,2025-12-03,Parti socialiste
PA841919,Diop,Dieynaba,PO684932,2024-12-04,Parti socialiste
PA793374,Baubry,Romain,PO761239,2025-12-03,Rassemblement national
PA793374,Baubry,Romain,PO761239,2022-12-02,Rassemblement national
PA793374,Baubry,Romain,PO761239,2024-12-04,Rassemblement national
PA1567,Guedj,Jérôme,PO684932,2022-12-02,Parti socialiste
PA1567,Guedj,Jérôme,PO684932,2024-12-04,Parti socialiste
PA1567,Guedj,Jérôme,PO684932,2025-12-03,Parti socialiste
PA1567,Guedj,Jérôme,PO684932,2012-12-01,Parti socialiste
PA720438,Di Pompeo,Christophe,PO761294,2018-12-01,La République en Marche
PA720438,Di Pompeo,Christophe,PO744854,2017-12-01,En marche !
PA341981,Récalde,Marie,PO684932,2024-12-04,Parti socialiste
PA341981,Récalde,Marie,PO684932,2012-12-01,Parti socialiste
PA341981,Récalde,Marie,PO684932,2025-12-03,Parti socialiste
PA1838,Lassalle,Jean,PO705103,2016-12-01,Non rattaché(s)
PA1838,Lassalle,Jean,PO744858,2017-12-01,Régions et peuples solidaires
PA1838,Lassalle,Jean,PO685806,2012-12-01,Le Centre pour la France
PA794022,Iordanoff,Jérémie,PO852530,2025-12-03,Les Écologistes - EELV
PA794022,Iordanoff,Jérémie,PO684936,2022-12-02,Europe Écologie Les Verts
PA794022,Iordanoff,Jérémie,PO852530,2024-12-04,Les Écologistes - EELV
PA719922,Causse,Lionel,PO761294,2018-12-01,La République en Marche
PA719922,Causse,Lionel,PO833003,2024-12-04,Ensemble ! (majorité présidentielle)
PA719922,Causse,Lionel,PO744854,2017-12-01,En marche !
PA719922,Causse,Lionel,PO806430,2022-12-02,Ensemble
PA719922,Causse,Lionel,PO806426,2025-12-03,Alliance centriste
PA841139,Gabarron,Julien,PO761239,2025-12-03,Rassemblement national
PA841139,Gabarron,Julien,PO761239,2024-12-04,Rassemblement national
PA720046,Dufeu,Audrey,PO761294,2018-12-01,La République en Marche
PA720046,Dufeu,Audrey,PO744854,2017-12-01,En marche !
PA721852,Lebec,Marie,PO806430,2022-12-02,Ensemble
PA721852,Lebec,Marie,PO833003,2024-12-04,Ensemble ! (majorité présidentielle)
PA721852,Lebec,Marie,PO761294,2018-12-01,La République en Marche
PA721852,Lebec,Marie,PO744854,2017-12-01,En marche !
PA721852,Lebec,Marie,PO833003,2025-12-03,Ensemble ! (majorité présidentielle)
PA1008,David,Alain,PO684932,2024-12-04,Parti socialiste
PA1008,David,Alain,PO684932,2025-12-03,Parti socialiste
PA1008,David,Alain,PO684932,2022-12-02,Parti socialiste
PA1008,David,Alain,PO684932,2017-12-01,Parti socialiste
PA795192,Chailloux,Steve,PO684926,2022-12-02,Parti communiste français
PA346054,Maquet,Emmanuel,PO710396,2022-12-02,Les Républicains
PA346054,Maquet,Emmanuel,PO710396,2017-12-01,Les Républicains
PA793680,Couturier,Catherine,PO744856,2022-12-02,La France Insoumise
PA841645,Bernhardt,Théo,PO761239,2025-12-03,Rassemblement national
PA841645,Bernhardt,Théo,PO761239,2024-12-04,Rassemblement national
PA672,Bridey,Jean-Jacques,PO761294,2018-12-01,La République en Marche
PA672,Bridey,Jean-Jacques,PO744854,2017-12-01,En marche !
PA672,Bridey,Jean-Jacques,PO684932,2012-12-01,Parti socialiste
PA719162,Dubois,Jacqueline,PO744854,2017-12-01,En marche !
PA719162,Dubois,Jacqueline,PO761294,2018-12-01,La République en Marche
PA721824,Renson,Hugues,PO744854,2017-12-01,En marche !
PA721824,Renson,Hugues,PO761294,2018-12-01,La République en Marche
PA721872,Poirson,Brune,PO761294,2020-12-01,La République en Marche
PA719052,Kervran,Loïc,PO744854,2017-12-01,En marche !
PA719052,Kervran,Loïc,PO852528,2025-12-03,Horizons
PA719052,Kervran,Loïc,PO761294,2018-12-01,La République en Marche
PA719052,Kervran,Loïc,PO806430,2022-12-02,Ensemble
PA719052,Kervran,Loïc,PO852528,2024-12-04,Horizons
PA840903,Christophle,Paul,PO684932,2025-12-03,Parti socialiste
PA840903,Christophle,Paul,PO684932,2024-12-04,Parti socialiste
PA793832,Gillet,Yoann,PO761239,2024-12-04,Rassemblement national
PA793832,Gillet,Yoann,PO761239,2022-12-02,Rassemblement national
PA793832,Gillet,Yoann,PO761239,2025-12-03,Rassemblement national
PA721896,Faucillon,Elsa,PO684926,2025-12-03,Parti communiste français
PA721896,Faucillon,Elsa,PO684926,2022-12-02,Parti communiste français
PA721896,Faucillon,Elsa,PO684926,2017-12-01,Parti communiste français
PA721896,Faucillon,Elsa,PO684926,2024-12-04,Parti communiste français
PA794478,Guiraud,David,PO744856,2022-12-02,La France Insoumise
PA794478,Guiraud,David,PO744856,2025-12-03,La France Insoumise
PA794478,Guiraud,David,PO744856,2024-12-04,La France Insoumise
PA767,Cattin,Jacques,PO710396,2017-12-01,Les Républicains
PA794590,Loubet,Alexandre,PO761239,2024-12-04,Rassemblement national
PA794590,Loubet,Alexandre,PO761239,2025-12-03,Rassemblement national
PA794590,Loubet,Alexandre,PO761239,2022-12-02,Rassemblement national
PA720952,Taché,Aurélien,PO744854,2017-12-01,En marche !
PA720952,Taché,Aurélien,PO684936,2022-12-02,Europe Écologie Les Verts
PA720952,Taché,Aurélien,PO744856,2025-12-03,La France Insoumise
PA720952,Taché,Aurélien,PO761294,2018-12-01,La République en Marche
PA720952,Taché,Aurélien,PO684936,2020-12-01,Europe Écologie Les Verts
PA720952,Taché,Aurélien,PO744856,2024-12-04,La France Insoumise
PA342384,Martin,Élisa,PO744856,2024-12-04,La France Insoumise
PA342384,Martin,Élisa,PO744856,2025-12-03,La France Insoumise
PA342384,Martin,Élisa,PO744856,2022-12-02,La France Insoumise
PA606793,Baumel,Laurent,PO684932,2024-12-04,Parti socialiste
PA606793,Baumel,Laurent,PO684932,2012-12-01,Parti socialiste
PA606793,Baumel,Laurent,PO684932,2025-12-03,Parti socialiste
PA793354,Mélin,Joëlle,PO761239,2024-12-04,Rassemblement national
PA793354,Mélin,Joëlle,PO761239,2025-12-03,Rassemblement national
PA793354,Mélin,Joëlle,PO761239,2022-12-02,Rassemblement national
PA721070,Ramassamy,Nadia,PO710396,2017-12-01,Les Républicains
